;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU;sep-17;Desempleo Nuevo;79.730;65.505;14.225;30.911;48.818;;;;;;;;;;;;
ENEMDU;sep-17;Población Económicamente Inactiva;3.698.515;2.810.879;887.636;1.072.396;2.626.119;;;;;;;;;;;;
ENEMDU;dic-17;Población Total ;16.961.926;11.576.222;5.385.705;8.393.133;8.568.793;;;;;;;;;;;;
ENEMDU;dic-17;Población menor de 15 años;5.023.998;3.240.642;1.783.357;2.605.729;2.418.270;;;;;;;;;;;;
ENEMDU;dic-17;Población en Edad de Trabajar (PET);11.937.928;8.335.580;3.602.348;5.787.405;6.150.524;;;;;;;;;;;;
ENEMDU;dic-17;Población Económicamente Activa;8.086.048;5.489.389;2.596.659;4.666.457;3.419.591;;;;;;;;;;;;
ENEMDU;dic-17;Empleo;7.712.177;5.169.942;2.542.236;4.498.929;3.213.249;;;;;;;;;;;;
ENEMDU;dic-17;Empleo Adecuado/Pleno;3.417.483;2.764.716;652.768;2.310.322;1.107.161;;;;;;;;;;;;
ENEMDU;dic-17;Subempleo;1.602.909;1.009.671;593.239;932.908;670.002;;;;;;;;;;;;
ENEMDU;dic-17;Subempleo por insuficiencia de tiempo de trabajo;1.235.759;791.600;444.159;657.124;578.635;;;;;;;;;;;;
ENEMDU;dic-17;Subempleo por insuficiencia de ingresos;367.151;218.071;149.079;275.784;91.367;;;;;;;;;;;;
ENEMDU;dic-17;Empleo no remunerado;727.778;271.059;456.719;205.950;521.828;;;;;;;;;;;;
ENEMDU;dic-17;Otro Empleo no pleno;1.951.060;1.112.178;838.881;1.040.569;910.491;;;;;;;;;;;;
ENEMDU;dic-17;Empleo no clasificado;12.947;12.318;630;9.180;3.767;;;;;;;;;;;;
ENEMDU;dic-17;Desempleo;373.871;319.447;54.423;167.529;206.342;;;;;;;;;;;;
ENEMDU;dic-17;Desempleo Abierto;300.956;266.821;34.135;134.912;166.045;;;;;;;;;;;;
ENEMDU;dic-17;Desempleo Oculto;72.914;52.626;20.288;32.617;40.298;;;;;;;;;;;;
ENEMDU;dic-17;Desempleo Cesante;268.219;234.654;33.564;129.562;138.656;;;;;;;;;;;;
ENEMDU;dic-17;Desempleo Nuevo;105.652;84.793;20.859;37.966;67.686;;;;;;;;;;;;
ENEMDU;dic-17;Población Económicamente Inactiva;3.851.880;2.846.191;1.005.689;1.120.947;2.730.933;;;;;;;;;;;;
ENEMDU;mar-18;Población Total;17.008.162;11.620.000;5.388.162;8.374.724;8.633.438;;;;;;;;;;;;
ENEMDU;mar-18;Población menor de 15 años;5.023.315;3.283.213;1.740.101;2.549.993;2.473.321;;;;;;;;;;;;
ENEMDU;mar-18;Población en Edad de Trabajar (PET);11.984.847;8.336.786;3.648.061;5.824.730;6.160.117;;;;;;;;;;;;
ENEMDU;mar-18;Población Económicamente Activa;8.164.425;5.439.125;2.725.300;4.740.765;3.423.660;;;;;;;;;;;;
ENEMDU;mar-18;Empleo;7.802.374;5.129.893;2.672.481;4.576.976;3.225.398;;;;;;;;;;;;
ENEMDU;mar-18;Empleo Adecuado/Pleno;3.356.562;2.726.104;630.458;2.239.844;1.116.718;;;;;;;;;;;;
ENEMDU;mar-18;Subempleo;1.498.139;941.409;556.730;921.488;576.651;;;;;;;;;;;;
ENEMDU;mar-18;Subempleo por insuficiencia de tiempo de trabajo;1.193.096;764.916;428.180;687.257;505.839;;;;;;;;;;;;
ENEMDU;mar-18;Subempleo por insuficiencia de ingresos;305.043;176.493;128.550;234.230;70.813;;;;;;;;;;;;
ENEMDU;mar-18;Empleo no remunerado;831.628;275.624;556.004;250.699;580.929;;;;;;;;;;;;
ENEMDU;mar-18;Otro Empleo no pleno;2.096.972;1.168.609;928.363;1.151.985;944.987;;;;;;;;;;;;
ENEMDU;mar-18;Empleo no clasificado;19.073;18.147;925;12.961;6.112;;;;;;;;;;;;
ENEMDU;mar-18;Desempleo;362.051;309.232;52.819;163.789;198.262;;;;;;;;;;;;
ENEMDU;mar-18;Desempleo Abierto;327.391;285.326;42.065;148.657;178.734;;;;;;;;;;;;
ENEMDU;mar-18;Desempleo Oculto;34.660;23.906;10.754;15.133;19.527;;;;;;;;;;;;
ENEMDU;mar-18;Desempleo Cesante;273.577;239.316;34.262;129.964;143.614;;;;;;;;;;;;
ENEMDU;mar-18;Desempleo Nuevo;88.474;69.916;18.558;33.826;54.648;;;;;;;;;;;;
ENEMDU;mar-18;Población Económicamente Inactiva;3.820.422;2.897.661;922.761;1.083.965;2.736.457;;;;;;;;;;;;
ENEMDU;jun-18;Población Total;17.054.523;11.625.674;5.428.849;8.440.141;8.614.382;;;;;;;;;;;;
ENEMDU;jun-18;Población menor de 15 años;5.030.677;3.254.082;1.776.595;2.570.624;2.460.053;;;;;;;;;;;;
ENEMDU;jun-18;Población en Edad de Trabajar (PET);12.023.846;8.371.592;3.652.255;5.869.517;6.154.329;;;;;;;;;;;;
ENEMDU;jun-18;Población Económicamente Activa;7.978.870;5.290.872;2.687.997;4.628.190;3.350.679;;;;;;;;;;;;
ENEMDU;jun-18;Empleo;7.648.773;5.015.089;2.633.683;4.468.614;3.180.159;;;;;;;;;;;;
ENEMDU;jun-18;Empleo Adecuado/Pleno;3.105.674;2.520.593;585.081;2.133.473;972.201;;;;;;;;;;;;
ENEMDU;jun-18;Subempleo;1.544.373;976.038;568.335;953.103;591.270;;;;;;;;;;;;
ENEMDU;jun-18;Subempleo por insuficiencia de tiempo de trabajo;1.223.986;777.596;446.390;693.035;530.951;;;;;;;;;;;;
ENEMDU;jun-18;Subempleo por insuficiencia de ingresos;320.388;198.442;121.945;260.069;60.319;;;;;;;;;;;;
ENEMDU;jun-18;Empleo no remunerado;838.730;272.068;566.662;245.528;593.202;;;;;;;;;;;;
ENEMDU;jun-18;Otro Empleo no pleno;2.116.670;1.208.742;907.928;1.108.277;1.008.394;;;;;;;;;;;;
ENEMDU;jun-18;Empleo no clasificado;43.325;37.648;5.677;28.232;15.093;;;;;;;;;;;;
ENEMDU;jun-18;Desempleo;330.097;275.783;54.314;159.577;170.520;;;;;;;;;;;;
ENEMDU;jun-18;Desempleo Abierto;286.484;251.307;35.177;139.119;147.365;;;;;;;;;;;;
ENEMDU;jun-18;Desempleo Oculto;43.613;24.476;19.137;20.458;23.155;;;;;;;;;;;;
ENEMDU;jun-18;Desempleo Cesante;239.154;199.188;39.967;122.354;116.800;;;;;;;;;;;;
ENEMDU;jun-18;Desempleo Nuevo;90.943;76.595;14.348;37.223;53.720;;;;;;;;;;;;
ENEMDU;jun-18;Población Económicamente Inactiva;4.044.977;3.080.720;964.257;1.241.327;2.803.650;;;;;;;;;;;;
ENEMDU;sep-18;Población Total;17.084.713;11.650.950;5.433.763;8.362.201;8.722.512;;;;;;;;;;;;
ENEMDU;sep-18;Población menor de 15 años;4.944.950;3.187.834;1.757.116;2.424.466;2.520.484;;;;;;;;;;;;
ENEMDU;sep-18;Población en Edad de Trabajar (PET);12.139.763;8.463.116;3.676.647;5.937.734;6.202.029;;;;;;;;;;;;
ENEMDU;sep-18;Población Económicamente Activa;8.266.443;5.519.515;2.746.928;4.754.022;3.512.421;;;;;;;;;;;;
ENEMDU;sep-18;Empleo;7.933.625;5.232.681;2.700.944;4.590.462;3.343.163;;;;;;;;;;;;
ENEMDU;sep-18;Empleo Adecuado/Pleno;3.274.463;2.691.697;582.766;2.224.390;1.050.073;;;;;;;;;;;;
ENEMDU;sep-18;Subempleo;1.605.884;987.731;618.153;960.588;645.296;;;;;;;;;;;;
ENEMDU;sep-18;Subempleo por insuficiencia de tiempo de trabajo;1.296.762;808.250;488.512;732.826;563.936;;;;;;;;;;;;
ENEMDU;sep-18;Subempleo por insuficiencia de ingresos;309.122;179.481;129.641;227.762;81.360;;;;;;;;;;;;
ENEMDU;sep-18;Empleo no remunerado;879.552;290.093;589.459;249.413;630.139;;;;;;;;;;;;
ENEMDU;sep-18;Otro Empleo no pleno;2.124.567;1.216.217;908.350;1.124.608;999.959;;;;;;;;;;;;
ENEMDU;sep-18;Empleo no clasificado;49.159;46.943;2.216;31.463;17.696;;;;;;;;;;;;
ENEMDU;sep-18;Desempleo;332.818;286.834;45.984;163.560;169.258;;;;;;;;;;;;
ENEMDU;sep-18;Desempleo Abierto;283.082;250.000;33.081;136.240;146.842;;;;;;;;;;;;
ENEMDU;sep-18;Desempleo Oculto;49.736;36.834;12.903;27.320;22.416;;;;;;;;;;;;
ENEMDU;sep-18;Desempleo Cesante;230.035;205.023;25.012;116.538;113.497;;;;;;;;;;;;
ENEMDU;sep-18;Desempleo Nuevo;102.783;81.811;20.972;47.023;55.761;;;;;;;;;;;;
ENEMDU;sep-18;Población Económicamente Inactiva;3.873.320;2.943.601;929.719;1.183.712;2.689.608;;;;;;;;;;;;
ENEMDU;dic-18;Población Total;17.223.542;11.748.197;5.475.345;8.429.370;8.794.172;;;;;;;;;;;;
ENEMDU;dic-18;Población menor de 15 años;4.984.519;3.213.682;1.770.837;2.443.701;2.540.818;;;;;;;;;;;;
ENEMDU;dic-18;Población en Edad de Trabajar (PET);12.239.023;8.534.515;3.704.508;5.985.669;6.253.354;;;;;;;;;;;;
ENEMDU;dic-18;Población Económicamente Activa;8.027.130;5.384.306;2.642.824;4.688.580;3.338.550;;;;;;;;;;;;
ENEMDU;dic-18;Empleo;7.731.032;5.125.687;2.605.345;4.541.320;3.189.713;;;;;;;;;;;;
ENEMDU;dic-18;Empleo Adecuado/Pleno;3.262.079;2.653.241;608.838;2.178.216;1.083.863;;;;;;;;;;;;
ENEMDU;dic-18;Subempleo;1.323.724;878.428;445.297;805.920;517.804;;;;;;;;;;;;
ENEMDU;dic-18;Subempleo por insuficiencia de tiempo de trabajo;1.074.228;716.073;358.155;620.868;453.360;;;;;;;;;;;;
ENEMDU;dic-18;Subempleo por insuficiencia de ingresos;249.497;162.355;87.142;185.052;64.445;;;;;;;;;;;;
ENEMDU;dic-18;Empleo no remunerado;798.391;261.391;537.000;237.736;560.656;;;;;;;;;;;;
ENEMDU;dic-18;Otro Empleo no pleno;2.313.023;1.300.129;1.012.895;1.299.259;1.013.765;;;;;;;;;;;;
ENEMDU;dic-18;Empleo no clasificado;33.814;32.499;1.315;20.190;13.624;;;;;;;;;;;;
ENEMDU;dic-18;Desempleo;296.097;258.619;37.478;147.260;148.837;;;;;;;;;;;;
ENEMDU;dic-18;Desempleo Abierto;239.361;215.943;23.417;121.300;118.060;;;;;;;;;;;;
ENEMDU;dic-18;Desempleo Oculto;56.737;42.676;14.061;25.960;30.777;;;;;;;;;;;;
ENEMDU;dic-18;Desempleo Cesante;195.168;175.295;19.873;105.133;90.035;;;;;;;;;;;;
ENEMDU;dic-18;Desempleo Nuevo;100.929;83.323;17.605;42.127;58.802;;;;;;;;;;;;
ENEMDU;dic-18;Población Económicamente Inactiva;4.211.893;3.150.209;1.061.684;1.297.089;2.914.804;;;;;;;;;;;;
ENEMDU;mar-19;Población Total;17.272.020;11.773.337;5.498.683;8.453.879;8.818.141;;;;;;;;;;;;
ENEMDU;mar-19;Población menor de 15 años;4.999.163;3.220.836;1.778.327;2.451.045;2.548.118;;;;;;;;;;;;
ENEMDU;mar-19;Población en Edad de Trabajar (PET);12.272.857;8.552.501;3.720.356;6.002.834;6.270.023;;;;;;;;;;;;
ENEMDU;mar-19;Población Económicamente Activa;8.162.787;5.397.912;2.764.876;4.749.778;3.413.009;;;;;;;;;;;;
ENEMDU;mar-19;Empleo;7.786.532;5.083.460;2.703.072;4.568.387;3.218.145;;;;;;;;;;;;
ENEMDU;mar-19;Empleo Adecuado/Pleno;3.094.795;2.536.513;558.282;2.079.214;1.015.581;;;;;;;;;;;;
ENEMDU;mar-19;Subempleo;1.524.118;996.390;527.727;973.124;550.993;;;;;;;;;;;;
ENEMDU;mar-19;Subempleo por insuficiencia de tiempo de trabajo;1.275.305;843.442;431.862;778.461;496.844;;;;;;;;;;;;
ENEMDU;mar-19;Subempleo por insuficiencia de ingresos;248.813;152.948;95.865;194.663;54.150;;;;;;;;;;;;
ENEMDU;mar-19;Empleo no remunerado;895.242;252.447;642.795;264.690;630.552;;;;;;;;;;;;
ENEMDU;mar-19;Otro Empleo no pleno;2.222.111;1.249.865;972.245;1.218.890;1.003.221;;;;;;;;;;;;
ENEMDU;mar-19;Empleo no clasificado;50.267;48.244;2.022;32.470;17.797;;;;;;;;;;;;
ENEMDU;mar-19;Desempleo;376.255;314.452;61.803;181.391;194.864;;;;;;;;;;;;
ENEMDU;mar-19;Desempleo Abierto;318.393;271.854;46.539;157.528;160.866;;;;;;;;;;;;
ENEMDU;mar-19;Desempleo Oculto;57.862;42.597;15.264;23.863;33.999;;;;;;;;;;;;
ENEMDU;mar-19;Desempleo Cesante;281.108;236.596;44.511;139.372;141.736;;;;;;;;;;;;
ENEMDU;mar-19;Desempleo Nuevo;95.147;77.855;17.292;42.019;53.129;;;;;;;;;;;;
ENEMDU;mar-19;Población Económicamente Inactiva;4.110.070;3.154.589;955.481;1.253.056;2.857.014;;;;;;;;;;;;
ENEMDU;jun-19;Población Total;17.332.994;11.799.598;5.533.396; 8.483.749 ; 8.849.245 ;;;;;;;;;;;;
ENEMDU;jun-19;Población menor de 15 años;5.016.800;3.226.438;1.790.362; 2.459.691 ; 2.557.109 ;;;;;;;;;;;;
ENEMDU;jun-19;Población en Edad de Trabajar (PET);12.316.194;8.573.161;3.743.033; 6.024.058 ; 6.292.136 ;;;;;;;;;;;;
ENEMDU;jun-19;Población Económicamente Activa;8.231.949;5.427.660;2.804.289; 4.736.753 ; 3.495.196 ;;;;;;;;;;;;
ENEMDU;jun-19;Empleo;7.865.786;5.125.136;2.740.650; 4.563.264 ; 3.302.522 ;;;;;;;;;;;;
ENEMDU;jun-19;Empleo Adecuado/Pleno;3.123.743;2.548.973;574.770; 2.121.963 ; 1.001.780 ;;;;;;;;;;;;
ENEMDU;jun-19;Subempleo;1.667.278;1.035.658;631.620; 1.001.520 ; 665.758 ;;;;;;;;;;;;
ENEMDU;jun-19;Subempleo por insuficiencia de tiempo de trabajo;1.377.417;870.880;506.538; 803.747 ; 573.671 ;;;;;;;;;;;;
ENEMDU;jun-19;Subempleo por insuficiencia de ingresos;289.861;164.778;125.082; 197.773 ; 92.088 ;;;;;;;;;;;;
ENEMDU;jun-19;Empleo no remunerado;855.741;263.118;592.623; 272.927 ; 582.814 ;;;;;;;;;;;;
ENEMDU;jun-19;Otro Empleo no pleno;2.169.741;1.230.909;938.832; 1.135.409 ; 1.034.332 ;;;;;;;;;;;;
ENEMDU;jun-19;Empleo no clasificado;49.282;46.477;2.805; 31.444 ; 17.838 ;;;;;;;;;;;;
ENEMDU;jun-19;Desempleo;366.163;302.525;63.639; 173.489 ; 192.674 ;;;;;;;;;;;;
ENEMDU;jun-19;Desempleo Abierto;302.374;256.581;45.793; 147.639 ; 154.735 ;;;;;;;;;;;;
ENEMDU;jun-19;Desempleo Oculto;63.790;45.944;17.846; 25.850 ; 37.939 ;;;;;;;;;;;;
ENEMDU;jun-19;Desempleo Cesante;248.305;208.495;39.811; 121.603 ; 126.703 ;;;;;;;;;;;;
ENEMDU;jun-19;Desempleo Nuevo;117.858;94.030;23.828; 51.886 ; 65.971 ;;;;;;;;;;;;
ENEMDU;jun-19;Población Económicamente Inactiva;4.084.245;3.145.500;938.744; 1.287.305 ; 2.796.940 ;;;;;;;;;;;;
ENEMDU;sep-19;Población Total;17.393.811;11.857.315;5.536.496; 8.513.489 ; 8.880.322 ;;;;;;;;;;;;
ENEMDU;sep-19;Población menor de 15 años;5.034.411;3.244.220;1.790.191; 2.468.327 ; 2.566.084 ;;;;;;;;;;;;
ENEMDU;sep-19;Población en Edad de Trabajar (PET);12.359.400;8.613.095;3.746.305; 6.045.162 ; 6.314.238 ;;;;;;;;;;;;
ENEMDU;sep-19;Población Económicamente Activa;8.379.355;5.567.995;2.811.361; 4.798.767 ; 3.580.588 ;;;;;;;;;;;;
ENEMDU;sep-19;Empleo;7.972.485;5.237.053;2.735.431; 4.606.990 ; 3.365.494 ;;;;;;;;;;;;
ENEMDU;sep-19;Empleo Adecuado/Pleno;3.228.032;2.633.820;594.213; 2.149.089 ; 1.078.943 ;;;;;;;;;;;;
ENEMDU;sep-19;Subempleo;1.649.346;1.024.458;624.888; 1.006.512 ; 642.835 ;;;;;;;;;;;;
ENEMDU;sep-19;Subempleo por insuficiencia de tiempo de trabajo;1.369.552;866.211;503.341; 796.035 ; 573.517 ;;;;;;;;;;;;
ENEMDU;sep-19;Subempleo por insuficiencia de ingresos;279.794;158.247;121.548; 210.476 ; 69.318 ;;;;;;;;;;;;
ENEMDU;sep-19;Empleo no remunerado;870.833;270.698;600.135; 248.682 ; 622.151 ;;;;;;;;;;;;
ENEMDU;sep-19;Otro Empleo no pleno;2.171.045;1.258.855;912.190; 1.167.245 ; 1.003.799 ;;;;;;;;;;;;
ENEMDU;sep-19;Empleo no clasificado;53.228;49.222;4.005; 35.462 ; 17.766 ;;;;;;;;;;;;
ENEMDU;sep-19;Desempleo;406.871;330.941;75.929; 191.777 ; 215.094 ;;;;;;;;;;;;
ENEMDU;sep-19;Desempleo Abierto;347.428;291.813;55.615; 162.258 ; 185.170 ;;;;;;;;;;;;
ENEMDU;sep-19;Desempleo Oculto;59.442;39.129;20.314; 29.519 ; 29.924 ;;;;;;;;;;;;
ENEMDU;sep-19;Desempleo Cesante;289.479;242.259;47.219; 147.584 ; 141.894 ;;;;;;;;;;;;
ENEMDU;sep-19;Desempleo Nuevo;117.392;88.682;28.710; 44.192 ; 73.200 ;;;;;;;;;;;;
ENEMDU;sep-19;Población Económicamente Inactiva;3.980.045;3.045.100;934.944; 1.246.395 ; 2.733.650 ;;;;;;;;;;;;
ENEMDU;dic-19;Población Total; 17.454.560 ; 11.904.109 ; 5.550.451 ; 8.543.223 ; 8.911.337 ;;;;;;;;;;;;
ENEMDU;dic-19;Población menor de 15 años; 5.051.995 ; 3.257.474 ; 1.794.521 ; 2.476.948 ; 2.575.047 ;;;;;;;;;;;;
ENEMDU;dic-19;Población en Edad de Trabajar (PET); 12.402.565 ; 8.646.635 ; 3.755.930 ; 6.066.275 ; 6.336.290 ;;;;;;;;;;;;
ENEMDU;dic-19;Población Económicamente Activa; 8.099.030 ; 5.384.696 ; 2.714.334 ; 4.711.947 ; 3.387.083 ;;;;;;;;;;;;
ENEMDU;dic-19;Empleo; 7.787.896 ; 5.118.287 ; 2.669.609 ; 4.557.924 ; 3.229.972 ;;;;;;;;;;;;
ENEMDU;dic-19;Empleo Adecuado/Pleno; 3.146.297 ; 2.585.800 ; 560.497 ; 2.111.339 ; 1.034.958 ;;;;;;;;;;;;
ENEMDU;dic-19;Subempleo; 1.440.983 ; 914.201 ; 526.782 ; 893.779 ; 547.204 ;;;;;;;;;;;;
ENEMDU;dic-19;Subempleo por insuficiencia de tiempo de trabajo; 1.190.073 ; 772.706 ; 417.368 ; 705.656 ; 484.417 ;;;;;;;;;;;;
ENEMDU;dic-19;Subempleo por insuficiencia de ingresos; 250.910 ; 141.495 ; 109.414 ; 188.124 ; 62.786 ;;;;;;;;;;;;
ENEMDU;dic-19;Empleo no remunerado; 884.617 ; 263.041 ; 621.575 ; 259.861 ; 624.756 ;;;;;;;;;;;;
ENEMDU;dic-19;Otro Empleo no pleno; 2.268.077 ; 1.309.199 ; 958.877 ; 1.264.413 ; 1.003.664 ;;;;;;;;;;;;
ENEMDU;dic-19;Empleo no clasificado;47.923;46.045;1.877;28.532;19.390;;;;;;;;;;;;
ENEMDU;dic-19;Desempleo; 311.134 ; 266.409 ;44.724; 154.022 ; 157.111 ;;;;;;;;;;;;
ENEMDU;dic-19;Desempleo Abierto; 271.917 ; 239.489 ;32.428; 144.398 ; 127.518 ;;;;;;;;;;;;
ENEMDU;dic-19;Desempleo Oculto;39.217;26.920;12.296;9.624;29.593;;;;;;;;;;;;
ENEMDU;dic-19;Desempleo Cesante; 222.297 ; 192.998 ;29.299; 114.769 ; 107.529 ;;;;;;;;;;;;
ENEMDU;dic-19;Desempleo Nuevo;88.836;73.411;15.425;39.254;49.582;;;;;;;;;;;;
ENEMDU;dic-19;Población Económicamente Inactiva; 4.303.535 ; 3.261.939 ; 1.041.596 ; 1.354.328 ; 2.949.207 ;;;;;;;;;;;;
ENEMDU*;sep-20;Población Total; 17.635.490 ; 12.022.763 ; 5.612.727 ; 8.631.781 ; 9.003.709 ;;;;;;;;;;;;
ENEMDU*;sep-20;Población menor de 15 años; 5.104.363 ; 3.289.347 ; 1.815.016 ; 2.502.624 ; 2.601.739 ;;;;;;;;;;;;
ENEMDU*;sep-20;Población en Edad de Trabajar (PET); 12.531.127 ; 8.733.416 ; 3.797.711 ; 6.129.157 ; 6.401.970 ;;;;;;;;;;;;
ENEMDU*;sep-20;Población Económicamente Activa; 7.993.136 ; 5.276.571 ; 2.716.565 ; 4.714.028 ; 3.279.108 ;;;;;;;;;;;;
ENEMDU*;sep-20;Empleo; 7.501.527 ; 4.853.126 ; 2.648.401 ; 4.469.749 ; 3.031.778 ;;;;;;;;;;;;
ENEMDU*;sep-20;Empleo Adecuado/Pleno; 2.458.819 ; 2.012.438 ; 446.380 ; 1.654.449 ; 804.370 ;;;;;;;;;;;;
ENEMDU*;sep-20;Subempleo; 1.949.825 ; 1.289.924 ; 659.901 ; 1.182.327 ; 767.498 ;;;;;;;;;;;;
ENEMDU*;sep-20;Subempleo por insuficiencia de tiempo de trabajo; 1.735.566 ; 1.149.196 ; 586.370 ; 1.019.078 ; 716.488 ;;;;;;;;;;;;
ENEMDU*;sep-20;Subempleo por insuficiencia de ingresos; 214.259 ;140.728;73.531;163.249;51.010;;;;;;;;;;;;
ENEMDU*;sep-20;Empleo no remunerado; 945.753 ; 286.911 ; 658.842 ; 338.791 ; 606.962 ;;;;;;;;;;;;
ENEMDU*;sep-20;Otro Empleo no pleno; 2.091.314 ; 1.216.506 ; 874.808 ; 1.264.424 ; 826.891 ;;;;;;;;;;;;
ENEMDU*;sep-20;Empleo no clasificado;55.816;47.347;8.469;29.759;26.057;;;;;;;;;;;;
ENEMDU*;sep-20;Desempleo; 491.609 ; 423.445 ;68.164; 244.280 ; 247.329 ;;;;;;;;;;;;
ENEMDU*;sep-20;Desempleo Abierto; 429.777 ; 374.781 ;54.996; 211.408 ; 218.368 ;;;;;;;;;;;;
ENEMDU*;sep-20;Desempleo Oculto;61.832;48.664;13.168;32.871;28.961;;;;;;;;;;;;
ENEMDU*;sep-20;Desempleo Cesante; 384.528 ; 333.076 ;51.452; 198.180 ; 186.348 ;;;;;;;;;;;;
ENEMDU*;sep-20;Desempleo Nuevo;107.081;90.369;16.712;46.099;60.981;;;;;;;;;;;;
ENEMDU*;sep-20;Población Económicamente Inactiva; 4.537.991 ; 3.456.845 ; 1.081.146 ; 1.415.129 ; 3.122.862 ;;;;;;;;;;;;
ENEMDU*;oct-20;Población Total; 17.655.492 ; 12.036.399 ; 5.619.093 ; 8.641.569 ; 9.013.923 ;;;;;;;;;;;;
ENEMDU*;oct-20;Población menor de 15 años; 5.110.152 ; 3.293.078 ; 1.817.074 ; 2.505.462 ; 2.604.690 ;;;;;;;;;;;;
ENEMDU*;oct-20;Población en Edad de Trabajar (PET); 12.545.340 ; 8.743.321 ; 3.802.019 ; 6.136.107 ; 6.409.233 ;;;;;;;;;;;;
ENEMDU*;oct-20;Población Económicamente Activa; 8.282.798 ; 5.474.057 ; 2.808.742 ; 4.882.433 ; 3.400.365 ;;;;;;;;;;;;
ENEMDU*;oct-20;Empleo; 7.805.426 ; 5.060.713 ; 2.744.713 ; 4.645.748 ; 3.159.678 ;;;;;;;;;;;;
ENEMDU*;oct-20;Empleo Adecuado/Pleno; 2.339.425 ; 1.847.178 ; 492.247 ; 1.578.131 ; 761.294 ;;;;;;;;;;;;
ENEMDU*;oct-20;Subempleo; 2.145.933 ; 1.517.928 ; 628.005 ; 1.358.333 ; 787.599 ;;;;;;;;;;;;
ENEMDU*;oct-20;Subempleo por insuficiencia de tiempo de trabajo; 1.890.025 ; 1.354.209 ; 535.816 ; 1.163.625 ; 726.401 ;;;;;;;;;;;;
ENEMDU*;oct-20;Subempleo por insuficiencia de ingresos; 255.907 ;163.718;92.189; 194.709 ;61.199;;;;;;;;;;;;
ENEMDU*;oct-20;Empleo no remunerado; 1.027.840 ; 313.840 ; 714.000 ; 354.152 ; 673.688 ;;;;;;;;;;;;
ENEMDU*;oct-20;Otro Empleo no pleno; 2.221.732 ; 1.316.861 ; 904.872 ; 1.310.430 ; 911.302 ;;;;;;;;;;;;
ENEMDU*;oct-20;Empleo no clasificado;70.495;64.907;5.588;44.701;25.794;;;;;;;;;;;;
ENEMDU*;oct-20;Desempleo; 477.372 ; 413.344 ;64.029; 236.685 ; 240.687 ;;;;;;;;;;;;
ENEMDU*;oct-20;Desempleo Abierto; 419.232 ; 366.036 ;53.196; 214.004 ; 205.227 ;;;;;;;;;;;;
ENEMDU*;oct-20;Desempleo Oculto;58.141;47.308;10.833;22.681;35.460;;;;;;;;;;;;
ENEMDU*;oct-20;Desempleo Cesante; 380.733 ; 333.612 ;47.121; 197.445 ; 183.287 ;;;;;;;;;;;;
ENEMDU*;oct-20;Desempleo Nuevo;96.639;79.732;16.907;39.240;57.400;;;;;;;;;;;;
ENEMDU*;oct-20;Población Económicamente Inactiva; 4.262.542 ; 3.269.264 ; 993.277 ; 1.253.674 ; 3.008.868 ;;;;;;;;;;;;
ENEMDU*;nov-20;Población Total; 17.675.513 ; 12.050.049 ; 5.625.464 ; 8.651.371 ; 9.024.143 ;;;;;;;;;;;;
ENEMDU*;nov-20;Población menor de 15 años; 5.115.951 ; 3.296.815 ; 1.819.136 ; 2.508.306 ; 2.607.644 ;;;;;;;;;;;;
ENEMDU*;nov-20;Población en Edad de Trabajar (PET); 12.559.563 ; 8.753.234 ; 3.806.329 ; 6.143.064 ; 6.416.498 ;;;;;;;;;;;;
ENEMDU*;nov-20;Población Económicamente Activa; 8.159.078 ; 5.370.225 ; 2.788.853 ; 4.800.127 ; 3.358.951 ;;;;;;;;;;;;
ENEMDU*;nov-20;Empleo; 7.698.733 ; 4.957.659 ; 2.741.073 ; 4.566.308 ; 3.132.425 ;;;;;;;;;;;;
ENEMDU*;nov-20;Empleo Adecuado/Pleno; 2.327.015 ; 1.889.741 ; 437.274 ; 1.598.249 ; 728.766 ;;;;;;;;;;;;
ENEMDU*;nov-20;Subempleo; 1.969.078 ; 1.279.236 ; 689.842 ; 1.281.463 ; 687.615 ;;;;;;;;;;;;
ENEMDU*;nov-20;Subempleo por insuficiencia de tiempo de trabajo; 1.779.350 ; 1.153.983 ; 625.367 ; 1.133.249 ; 646.101 ;;;;;;;;;;;;
ENEMDU*;nov-20;Subempleo por insuficiencia de ingresos; 189.729 ;125.253;64.476;148.215;41.514;;;;;;;;;;;;
ENEMDU*;nov-20;Empleo no remunerado; 914.484 ; 267.227 ; 647.257 ; 269.151 ; 645.334 ;;;;;;;;;;;;
ENEMDU*;nov-20;Otro Empleo no pleno; 2.416.513 ; 1.454.434 ; 962.079 ; 1.376.260 ; 1.040.252 ;;;;;;;;;;;;
ENEMDU*;nov-20;Empleo no clasificado;71.642;67.021;4.621;41.184;30.458;;;;;;;;;;;;
ENEMDU*;nov-20;Desempleo; 460.345 ; 412.566 ;47.779; 233.819 ; 226.526 ;;;;;;;;;;;;
ENEMDU*;nov-20;Desempleo Abierto; 398.897 ; 361.858 ;37.039; 198.216 ; 200.681 ;;;;;;;;;;;;
ENEMDU*;nov-20;Desempleo Oculto;61.448;50.708;10.740;35.602;25.846;;;;;;;;;;;;
